PANEL XENIUM (INMUNO),,,,,ADD-ON GENES,,,
Gene,Ensemble ID,Annotation,,,Gene,Ensembl ID,Tissues,Cell types
A2M,ENSG00000175899,,,1,ADGRE1,ENSG00000174837,Liver,Kupffer cells
ACE2,ENSG00000130234,Hormone Processing,,2,ADGRL4,ENSG00000162618,Liver,Liver endothelial cells
ACTA2,ENSG00000107796,Stromal Cell,,3,ADH4,ENSG00000198099,Liver,Hepatocytes
ACTB,ENSG00000075624,Cytoskeleton,,4,ALAS2,ENSG00000158578,Liver,Erythroid cells
ADAM28,ENSG00000042980,B cell,,5,APOA5,ENSG00000110243,Liver,Hepatocytes
AIF1,ENSG00000204472,Macrophage,,6,AQP9,ENSG00000103569,Liver,Hepatocytes
AIRE,ENSG00000160224,T Cell;Thymus,,7,AR,ENSG00000169083,Liver,Hepatocytes
AKT1,ENSG00000142208,Cancer Signalling,,8,KDR,ENSG00000128052,Fibrotic Liver,LSECs
ANPEP,ENSG00000166825,Tumor,,9,SLC7A2,ENSG00000003989,Fibrotic Liver,Hepatocytes also macrophages 
ANXA1,ENSG00000135046,Receptor Ligand,,10,CPS1,ENSG00000021826,Fibrotic Liver,Hepatocytes
APOE,ENSG00000130203,,,11,ATP9A,ENSG00000054793,Fibrotic Liver,Hepatocytes
AREG,ENSG00000109321,Mast Cell,,12,POR,ENSG00000127948,Fibrotic Liver,Hepatocytes
ARG1,ENSG00000118520,Myeloid Derived Suppressor Cell,,13,EXT1,ENSG00000182197,Fibrotic Liver,Hepatocytes
ARID1A,ENSG00000117713,Tumor,,14,PNPLA3,ENSG00000100344,Fibrotic Liver,Hepatocytes
ARPC3,ENSG00000111229,,,15,CPEB4,ENSG00000113742,Fibrotic Liver,Hepatocytes
ARPC5,ENSG00000162704,,,16,ASPG,ENSG00000166183,Fibrotic Liver,Hepatocytes
ATM,ENSG00000149311,DNA Damage,,17,THRB,ENSG00000151090,Fibrotic Liver,Hepatocytes
BANK1,ENSG00000153064,B Cell,,18,ALB,ENSG00000163631,Cirrhotic liver,Hepatocyte
BATF3,ENSG00000123685,T Cell,,19,ASGR1,ENSG00000141505,Cirrhotic liver,Hepatocyte
BCL2,ENSG00000171791,Apoptosis,,20,TAT,ENSG00000198650,Cirrhotic liver,Hepatocyte
BRAF,ENSG00000157764,Proto-Oncogene,,21,CPS1,ENSG00000021826,Cirrhotic liver,Hepatocyte
C1QB,ENSG00000173369,Monocyte;Complement,,22,ASS1,ENSG00000130707,Cirrhotic liver,Hepatocyte
C1QBP,ENSG00000108561,Tumorigenesis;Complement,,23,IGFBP2,ENSG00000115457,Cirrhotic liver,Hepatocyte
C1R,ENSG00000159403,Tumor;Complement,,24,CCND1,ENSG00000110092,Cirrhotic liver,Hepatocyte
C1S,ENSG00000182326,Tumor;Complement,,25,PON1,ENSG00000005421,Cirrhotic liver,Hepatocyte
CCL11,ENSG00000172156,Cytokines & Growth Factors;Chemokine Ligand;Cytokine-Cytokine-Receptor Interaction,,26,GLUL,ENSG00000135821,Cirrhotic liver,Hepatocyte
CCL13,ENSG00000181374,Cytokines & Growth Factors;Chemokine Ligand;Cytokine-Cytokine-Receptor Interaction,,27,CYP2E1,ENSG00000130649,Cirrhotic liver,Hepatocyte
CCL14,ENSG00000276409,Cytokines & Growth Factors;Chemokine Ligand;Cytokine-Cytokine-Receptor Interaction,,28,KRT19,ENSG00000171345,Cirrhotic liver,Cholangiocyte
CCL15,ENSG00000275718,Cytokines & Growth Factors;Chemokine Ligand;Cytokine-Cytokine-Receptor Interaction,,29,KRT7,ENSG00000135480,Cirrhotic liver,Cholangiocyte
CCL16,ENSG00000275152,Cytokines & Growth Factors;Chemokine Ligand;Cytokine-Cytokine-Receptor Interaction,,30,EPCAM,ENSG00000119888,Cirrhotic liver,Cholangiocyte
CCL19,ENSG00000172724,Cytokines & Growth Factors;Chemokine Ligand;Cytokine-Cytokine-Receptor Interaction,,31,SOX9,ENSG00000125398,Cirrhotic liver,Cholangiocyte
CCL2,ENSG00000108691,Cytokines & Growth Factors;Chemokine Ligand;Cytokine-Cytokine-Receptor Interaction,,32,SPP1,ENSG00000118785,Cirrhotic liver,Cholangiocyte
CCL20,ENSG00000115009,Cytokines & Growth Factors;Chemokine Ligand;Cytokine-Cytokine-Receptor Interaction,,33,STAB2,ENSG00000114739,Cirrhotic liver,Endothelium
CCL21,ENSG00000137077,Cytokines & Growth Factors;Chemokine Ligand;Cytokine-Cytokine-Receptor Interaction,,34,LYVE1,ENSG00000133800,Cirrhotic liver,Endothelium
CCL26,ENSG00000006606,Cytokines & Growth Factors;Chemokine Ligand;Cytokine-Cytokine-Receptor Interaction,,35,CLEC4G,ENSG00000182566,Cirrhotic liver,Endothelium
CCL28,ENSG00000151882,Cytokines & Growth Factors;Chemokine Ligand;Cytokine-Cytokine-Receptor Interaction,,36,FCGR2B,ENSG00000078549,Cirrhotic liver,Endothelium
CCL3,ENSG00000277632,T Cell;Effector Memory;Resident Memory;Activated;Cytokines & Growth Factors;Chemokine Ligand;Cytokine-Cytokine-Receptor Interaction,,37,PECAM1,ENSG00000261371,Cirrhotic liver,Endothelium
CCL3L1,ENSG00000276085,Cytokines & Growth Factors;Chemokine Ligand;Cytokine-Cytokine-Receptor Interaction,,38,LRAT,ENSG00000197776,Cirrhotic liver,Stellate
CCL4,ENSG00000275302,T Cell;Effector Memory;Resident Memory;Activated;Cytokines & Growth Factors;Chemokine Ligand;Cytokine-Cytokine-Receptor Interaction,,39,RBP1,ENSG00000114115,Cirrhotic liver,Stellate
CCL5,ENSG00000271503,T Cell;Effector Memory;Resident Memory;Activated;Cytokines & Growth Factors;Chemokine Ligand;Cytokine-Cytokine-Receptor Interaction,,40,ACTA2,ENSG00000107796,Cirrhotic liver,Stellate
CCL7,ENSG00000108688,Cytokines & Growth Factors;Chemokine Ligand;Cytokine-Cytokine-Receptor Interaction,,41,COL1A1,ENSG00000108821,Cirrhotic liver,Stellate
CCL8,ENSG00000108700,Cytokines & Growth Factors;Chemokine Ligand;Cytokine-Cytokine-Receptor Interaction,,42,COL1A2,ENSG00000163041,Cirrhotic liver,Stellate
CCND1,ENSG00000110092,Epithelial Cell,,43,PDGFRB,ENSG00000113721,Cirrhotic liver,Stellate
CCR1,ENSG00000163823,C-C Motif Chemokine Receptor;M1;Macrophage;Cytokine Receptor;CD Molecule;Cytokine-Cytokine-Receptor Interaction,,44,MARCO,ENSG00000019169,Cirrhotic liver,Macrophage
CCR2,ENSG00000121807,C-C Motif Chemokine Receptor;M1;Macrophage;Cytokine Receptor;CD Molecule;Cytokine-Cytokine-Receptor Interaction,,45,VSIG4,ENSG00000155659,Cirrhotic liver,Macrophage
CCR3,ENSG00000183625,C-C Motif Chemokine Receptor;M1;Macrophage;Cytokine Receptor;CD Molecule;Cytokine-Cytokine-Receptor Interaction,,46,CD163,ENSG00000177575,Cirrhotic liver,Macrophage
CCR4,ENSG00000183813,C-C Motif Chemokine Receptor;M1;Macrophage;Cytokine Receptor;CD Molecule;Cytokine-Cytokine-Receptor Interaction,,47,THY1,ENSG00000154096,Cirrhotic liver,Fibroblast
CCR5,ENSG00000160791,C-C Motif Chemokine Receptor;M1;Macrophage;Cytokine Receptor;CD Molecule;Cytokine-Cytokine-Receptor Interaction,,48,COL15A1,ENSG00000204291,Cirrhotic liver,Fibroblast
CCR6,ENSG00000112486,C-C Motif Chemokine Receptor;M1;Macrophage;Cytokine Receptor;CD Molecule;Cytokine-Cytokine-Receptor Interaction,,49,PPM1D,ENSG00000170836,,
CCR7,ENSG00000126353,T Cell;Naive;C-C Motif Chemokine Receptor;M1;Macrophage;Cytokine Receptor;CD Molecule;Cytokine-Cytokine-Receptor Interaction,,50,IFNG,ENSG00000111537,,
CD14,ENSG00000170458,Monocyte;Macrophage;M1;CD Molecule,,,U2AF1,ENSG00000160201,,
CD163,ENSG00000177575,Macrophage;M2;CD Molecule,,,POT1,ENSG00000128513,,
CD19,ENSG00000177455,B Cell;Proliferative;CD Molecule,,,TERT,ENSG00000164362,,
CD1A,ENSG00000158477,CD Molecule;Antigen Presentation;Dendritic Cell,,,MYC,ENSG00000136997,,
CD1C,ENSG00000158481,CD Molecule;Antigen Presentation;Dendritic Cell,,,,,,
CD2,ENSG00000116824,T Cell;CD Molecule,,,SERPINE1,ENSG00000106366,Stress,Hepatocyte
CD247,ENSG00000198821,Natural Killer Cell;CD Molecule,,,PDK4,ENSG00000004799,Zone 3,Hepatocyte
CD27,ENSG00000139193,B Cell;CD Molecule,,,LGALS3,ENSG00000131981,importan gene in cirrhosis,Galectin-3
CD274,ENSG00000120217,CD Molecule;Tumor;Checkpoint Inhibitor Target;Don't Eat Me,,,,,,
CD276,ENSG00000103855,CD Molecule;Tumor;Checkpoint Inhibitor Target,,,,,,
CD28,ENSG00000178562,T Cell;CD Molecule,,,,,,
CD37,ENSG00000104894,B Cell;CD Molecule,,,,,,
CD38,ENSG00000004468,Plasma Cell;CD Molecule,,,,,,
CD3D,ENSG00000167286,T Cell;CD8+;Effector;CD Molecule,,,,,,
CD3E,ENSG00000198851,CD Molecule;T Cell,,,,,,
CD4,ENSG00000010610,T Cell;CD4+;CD Molecule,,,,,,
CD40,ENSG00000101017,Dendritic Cell;Myeloid;CD Molecule,,,,,,
CD40LG,ENSG00000102245,CD Molecule;Immune Checkpoint,,,,,,
CD44,ENSG00000026508,Macrophage;M1;CD Molecule,,,,,,
CD47,ENSG00000196776,CD Molecule;Tumor;Don't Eat Me,,,,,,
CD68,ENSG00000129226,Macrophage;CD Molecule,,,,,,
CD74,ENSG00000019582,CD Molecule;Macrophage,,,,,,
CD79A,ENSG00000105369,B Cell;Proliferative;Plasma Cell;CD Molecule,,,,,,
CD79B,ENSG00000007312,B Cell;Proliferative;CD Molecule,,,,,,
CD80,ENSG00000121594,Dendritic Cell;Myeloid;CD Molecule,,,,,,
CD83,ENSG00000112149,B Cell;CD Molecule,,,,,,
CD86,ENSG00000114013,Macrophage;M1;CD Molecule,,,,,,
CD8A,ENSG00000153563,T Cell;CD8+;Lineage Marker;CD Molecule,,,,,,
CD8B,ENSG00000172116,T Cell;CD Molecule,,,,,,
CDK1,ENSG00000170312,Tumorigenesis,,,,,,
CDK12,ENSG00000167258,Tumorigenesis,,,,,,
CDK2,ENSG00000123374,Tumorigenesis,,,,,,
CDK4,ENSG00000135446,Tumorigenesis,,,,,,
CDK6,ENSG00000105810,Tumorigenesis,,,,,,
CDKN1A,ENSG00000124762,Macrophage;Phagocytosis;Immune Escape;Tumorigenesis,,,,,,
CDKN1B,ENSG00000111276,Macrophage;Phaogytosis;Immune Escape;Tumorigenesis,,,,,,
CDKN1C,ENSG00000129757,Tumorigenesis;Apoptosis;Cell Invasion;Metastasis,,,,,,
CDKN2A,ENSG00000147889,Macrophage;Phagocytosis;Immune Escape;Tumorigenesis,,,,,,
CDKN2B,ENSG00000147883,Macrophage;Phagocytosis;Immune Escape;Tumorigenesis,,,,,,
CDKN2C,ENSG00000123080,Macrophage;Phagocytosis;Immune Escape;Tumorigenesis,,,,,,
CDKN2D,ENSG00000129355,Macrophage;Phaogytosis;Immune Escape;Tumorigenesis,,,,,,
CDX1,ENSG00000113722,Epithelial Cell;Intestine,,,,,,
CDX2,ENSG00000165556,Epithelial Cell;Intestine,,,,,,
CEACAM1,ENSG00000079385,Tumor;Checkpoint Inhibitor,,,,,,
CEACAM6,ENSG00000086548,Epithelial Cell,,,,,,
CEACAM8,ENSG00000124469,Tumor,,,,,,
CENPF,ENSG00000117724,Cell Cycle Progression,,,,,,
CENPV,ENSG00000166582,Cell Division,,,,,,
CFC1,ENSG00000136698,Cancer Stemness,,,,,,
CHIT1,ENSG00000133063,Dendritic Cell,,,,,,
CLEC10A,ENSG00000132514,Dendritic Cell;Myeloid,,,,,,
CLEC12A,ENSG00000172322,Monocyte;Non-Classical,,,,,,
CMKLR1,ENSG00000174600,Angiogenesis,,,,,,
CORO1A,ENSG00000102879,T Cell;Macrophage;Apoptosis,,,,,,
COTL1,ENSG00000103187,Tumor Suppression,,,,,,
CPA3,ENSG00000163751,Mast Cell,,,,,,
CSF1,ENSG00000184371,Monocyte;Macrophage,,,,,,
CSF1R,ENSG00000182578,Monocyte;Macrophage,,,,,,
CST7,ENSG00000077984,Natural Killer Cell;T Cell;CD8+,,,,,,
CTLA4,ENSG00000163599,T Cell;Regulatory;Exhausted;Checkpoint,,,,,,
CTNNB1,ENSG00000168036,Tumorigenesis,,,,,,
CTSB,ENSG00000164733,,,,,,,
CTSD,ENSG00000117984,Tumor,,,,,,
CTSL,ENSG00000135047,Metastasis,,,,,,
CTSS,ENSG00000163131,Tumor,,,,,,
CTSW,ENSG00000172543,Tumor,,,,,,
CX3CR1,ENSG00000168329,T Cell;Cancer Stemness,,,,,,
CXCL1,ENSG00000163739,Macrophage,,,,,,
CXCL10,ENSG00000169245,Immune Cell Migration;Neutrophil;Eosinophil;Monoyte;Epithelial Cell;Stromal Cell;Fibroblast,,,,,,
CXCL11,ENSG00000169248,Immune Cell Migration,,,,,,
CXCL12,ENSG00000107562,Tumor Suppression;Growth;Evasion,,,,,,
CXCL13,ENSG00000156234,T Cell;Regulatory;Chemokine,,,,,,
CXCL14,ENSG00000145824,Immune Cell Migration;Dendritic Cell;Chemokine,,,,,,
CXCL16,ENSG00000161921,Immune Cell Migration;Natural Killer T Cell,,,,,,
CXCL2,ENSG00000081041,Epithelial Cell;Tumor Differentiation,,,,,,
CXCL3,ENSG00000163734,Oncogene,,,,,,
CXCL5,ENSG00000163735,Macrophage;Chemokine,,,,,,
CXCL6,ENSG00000124875,Immune Cell Migration;Chemokine,,,,,,
CXCL9,ENSG00000138755,Immune Cell Migration;Chemokine,,,,,,
CXCR1,ENSG00000163464,Immune Cell Migration,,,,,,
